,symbol,time stamp,open,high,low,close,volume
35004,TSLA,2023-02-24 11:24,195.34,195.43,194.71,194.9829,428234
35005,TSLA,2023-02-24 11:25,195.01,195.15,194.7401,194.9625,252638
35006,TSLA,2023-02-24 11:26,195.0,195.27,194.94,195.26,240674
35007,TSLA,2023-02-24 11:27,195.2311,195.99,195.2241,195.72,605340
35008,TSLA,2023-02-24 11:28,195.72,195.85,195.42,195.4896,377328
35009,TSLA,2023-02-24 11:29,195.46,195.79,195.35,195.4182,373642
35010,TSLA,2023-02-24 11:30,195.4069,195.72,195.36,195.4727,384801
35011,TSLA,2023-02-24 11:31,195.4801,195.61,195.18,195.41,371715
35012,TSLA,2023-02-24 11:32,195.43,195.99,195.22,195.7499,383024
35013,TSLA,2023-02-24 11:33,195.71,196.22,195.71,195.77,485162
35014,TSLA,2023-02-24 11:34,195.78,195.99,195.615,195.88,313199
35015,TSLA,2023-02-24 11:35,195.88,196.0,195.65,195.9242,338516
35016,TSLA,2023-02-24 11:36,195.9399,195.9399,195.4107,195.5799,337537
35017,TSLA,2023-02-24 11:37,195.56,195.67,195.28,195.455,310102
35018,TSLA,2023-02-24 11:38,195.4608,195.63,195.35,195.55,306702
35019,TSLA,2023-02-24 11:39,195.54,195.77,195.4517,195.675,270221
35020,TSLA,2023-02-24 11:40,195.6287,195.822,195.48,195.51,265732
35021,TSLA,2023-02-24 11:41,195.5,196.1,195.43,195.875,383760
35022,TSLA,2023-02-24 11:42,195.8899,196.15,195.82,195.93,344140
35023,TSLA,2023-02-24 11:43,195.93,196.15,195.85,196.03,275321
35024,TSLA,2023-02-24 11:44,196.03,196.32,195.9,196.0958,369775
35025,TSLA,2023-02-24 11:45,196.1085,196.7099,196.0531,196.6201,554202
35026,TSLA,2023-02-24 11:46,196.6065,197.0,196.6,196.9675,571322
35027,TSLA,2023-02-24 11:47,196.97,196.99,196.77,196.86,389500
35028,TSLA,2023-02-24 11:48,196.85,196.99,196.7063,196.7501,401285
35029,TSLA,2023-02-24 11:49,196.77,197.15,196.72,197.065,473488
35030,TSLA,2023-02-24 11:50,197.08,197.6695,197.0746,197.57,760552
35031,TSLA,2023-02-24 11:51,197.57,197.59,197.33,197.43,400225
35032,TSLA,2023-02-24 11:52,197.43,197.5099,197.25,197.37,302165
35033,TSLA,2023-02-24 11:53,197.38,197.419,197.01,197.1999,439147
35034,TSLA,2023-02-24 11:54,197.1701,197.18,196.88,196.9723,416373
35035,TSLA,2023-02-24 11:55,196.9701,197.27,196.95,197.1599,271365
35036,TSLA,2023-02-24 11:56,197.17,197.19,196.756,196.8401,298288
35037,TSLA,2023-02-24 11:57,196.8301,196.9388,196.58,196.9147,328749
35038,TSLA,2023-02-24 11:58,196.91,197.34,196.88,197.17,377259
35039,TSLA,2023-02-24 11:59,197.16,197.27,196.78,197.0499,268456
35040,TSLA,2023-02-24 12:00,197.05,197.33,197.05,197.16,241429
35041,TSLA,2023-02-24 12:01,197.16,197.22,196.9217,197.1001,211357
